giorno	orario	luogo	categoria	titolo	descrizione
21	20:00	Palazzo Trajna	Apertura	Inaugurazione della settimana della cultura	Interverranno il sindaco di Cammarata Giuseppe Mangiapane, gli assessori, la  Proloco e gli ospiti internazionali. 
21	21:00	Palazzo Trajna	Performance	Sfilata del gruppo Perù Folk accompagnati  dai cortei storici	
21	A seguire	Via Roma, Castello	Inaugurazione	Inaugurazioni delle mostre artistiche	Apertura delle mostre e accoglienza delle delegazioni internazionali  accompagnate dal cittadino onorario Gorgonio Sanjuán.
21	22:00	Teatro del Castello	Degustazioni	Degustazioni di prodotti enogastronomici locali	
21	A seguire	Teatro del Castello	Performance	Marinera Norteña 	Performance di danza con il gruppo Perù Folk.
21	22:30	Piazzale  Andrea Camilleri	Performance	Esibizione orchestra	Esibizioine dell'orchestra dell'Istituto Comprensivo Giovanni XXIII di Cammarata.
					
22	19:00	Aula Consiliare	Usanze dal mondo	Workshop di animali emblematici del Perù	A cura di Xiomi Cecilia Lazo Malasquez.
22	20:00	Via Roma	Eventi culturali	Incontro con l'autore	Salvatore Nocera Bracco presenta "Il fuoco non muore",  modera Agostino Tuzzolino.
22	21:00	Giardino del dono,  Aula Consiliare,  Palazzo Trajna	Eventi culturali	Attività con ospiti internazionali	Laboratori, letture di poesie, degustazioni, esposizioni artgianali e danze. 
22	22:30	Piazzale  Andrea Camilleri	Performance	Tamuna in concerto.	
					
23	9:30	Palazzo Trajna,  Via Roma	Eventi culturali	Registrazione dei partecipanti all'estemporanea  di pittura e apertura dell'evento.	
23	A seguire	Chiesa dell'Annunziata	Eventi culturali	Partenza del mini Trekking urbano	A seguire inaugurazione dell'installazione permanente "Un viaggio nei luoghi della nostra terra".
23	A seguire	Palazzo Trajna	Eventi culturali	Laboratori per bambini	A cura degli ospiti internazionali e dell'associazione 100% ME STESSA.
23	A seguire	Giardino del Dono	Usanze dal mondo	Workshop di acquerelli	A cura di Erwin Gomez Valdivia.
23	A seguire	Palazzo Trajna, Castello	Usanze dal mondo	Attività con ospiti internazionali	Dimostrazioni di pittura, danze, musica ed esposizioni artigianali.
23	19:00	Biblioteca Comunale,  via Roma	Eventi culturali	Proiezione del film "Franca Viola"	A cura dell'asssociazione 100% ME STESSA.
23	20:30	Biblioteca Comunale,  via Roma	Eventi culturali	L'associazione FIDAPA presenta "oltre i confini, immagini tra simboli e cambiamenti"	Con installazioni artistiche delle artiste Rosalia Marchiafava, Maria Domenica  Mangiapane e Cristiana Messina. Intermezzo musicale con il sassofonista Salvatore Madonia.
23	22:30	Piazzale  Andrea Camilleri	Performance	Note per Cammarata	Evento concluusivo della masterclass "Cammarata music weekend"", con la parte- cipazione dei maestri Vincenzo Paci, Piergiuseppe Doldi, Giuseppe Mendola e  Cladio Cavallini del Teatro "La Fenice" di Venezia e della banda musicale  V. Bellini di Cammarata.
					
24	18:00	Giardino del Dono	Usanze dal mondo	Workshop di accessori in baby alpaca	A cura di Virginia Barreda Ramirez.
24	19:00	Teatro del Castello	Eventi culturali	È festa antica	Rievocazione medievale con la partecipazione dei cortei storici.
24	20:30	Via roma	Eventi culturali	Incontro con l'autrice	Dominga Centinaro presenta "Celeste", modera Vito Lo Scrudato.
24	21:30	Palazzo Trajna	Usanze dal mondo	Attività con ospiti internazionali	Dimostrazioni di pittura, danze ed esposizioni artigianali.
24	22:30	Palazzo Trajna	Eventi culturali	Tinca Timpa Fest	Partecipazione del Tinca Timpa Fest che presenterà in anteprima assolulta la dj  iraniana Dj Mahsoo.
					
25	17:00	Da definire	Eventi culturali	Trekking urbano	
25	18:00	Giardino del Dono	Usanze dal mondo	Workshop di arteterapia	A cura di Verónica Adam.
25	19:00	Teatro del Castello	Eventi culturali	È festa antica	Riapertura della rievocazione medievale con la partecipazione dei gruppi storici.
25	A seguire	Biblioteca comunale,  via Roma	Usanze dal mondo	Conferenza e proiezione di "ANDES, cultura  e tradizioni"	
25	20:00	Via Roma	Eventi culturali	Incontro con le autrici	Debora Guzzo presenta ""Fireflies, stelle sulla terra" e Federica Balistreri presenta  "Artigli d'Orchidea"", modera Antonella Giacona e Nicola Macaione, con intermezzo  musicale. 
25	21:30	Palazzo Trajna	Performance	Sfilata di moda	A cura di Virginia Barreda Ramirez.
					
26	20:30	Via Roma	Eventi culturali	Incontro con l'autrice	Francesca Maccani presenta "Le donne dell'acqua santa", modera Agostino  Tuzzolino.
26	21:30	Palazzo Trajna	Performance	Ore di Spagna	Spettacolo di danza con Coral Arte Flamenco.
26	A seguire	Palazzo Trajna	Usanze dal mondo	Performance pittoriche	Con gli ospiti internazionali Wilfredo Ccala Bustamante ed Herlinda Loaiza Castelo.
					
27	20:30	Via Roma	Eventi culturali	Incontro con l'autrice	Daniela Tornatore presenta "L'ultimo ricordo", modera Linda Grasso.
27	21:30	Biblioteca comunale,  Via Roma	Eventi culturali	Seminario di astronomia	A cura dell'astrofisico Prof. Mario Giseppe Guarcello dell'osservatorio INAF  di Palermo.
27	22:30	Piazzale Andrea Camilleri	Performance	"Il panciotto fatato" e "Manola"	Concerto dell'Ensemble Harmoniae dell'associazione culturale e musicale  Harmoniae di Cammarata.
					
28	20:30	Via Roma	Eventi culturali	Incontro con l'autore	Roberto Alajmo presenta "La boffa allo scecco", modera Agostino Tuzzolino.
28	21:30	Giardino del Dono	Eventi culturali	Osservazioni astrali	a cura dell'astrofisico Prof. Mario Giseppe Guarcello dell'osservatorio INAF  di Palermo.
28	22:30	Palazzo Trajna	Performance	Performance musicale dei nostri talenti	
					
29	20:30	Via Roma	Eventi culturali	Incontro con l'autrice	Beatrice Monroy presenta "Notte, giorno, notte", modera Agostino Tuzzolino.
29	21:00	Piazzale Andrea Camilleri	Performance	Il potere della danza-movimento e memoria	
					
30	20:30	Via Roma	Eventi culturali	Incontro con l'autore	Beniamino Biondi presenta "L'isola spettrale, guida immaginifica ai fantastmi di Sicilia",  modera Agostino Tuzzolino
30	22:00	Palazzo Trajna	Performance	Canzoni del sud	Con Ponente e Maurizio Bologna.